enum_name,location,dist_lab,reg_lab,loc_lab,fms_lab,state_lab,school_name,cluster_id,uniqueid,consent,location_resp,neighborhood,gender,age,income_band,income_mid,mch_funder,mch_funder_rand,mch_time,hc_pref,hc_pref_rand,school_pref,school_pref_rand,income10pct,income5pct,willing_insurance10,willing_insurance5,trust_dist,trust_dist_rand,trust_fms,trust_fms_rand,trust_fgs,trust_fgs_rand,support_rem,support_closefam,support_clan,support_aid,amount_rem,amount_closefam,amount_clan,amount_aid,tax_willing,tax_willing_rand,clan_tax,clan_tax_freq,clan_tax_freq_oth,clan_tax_amt,clan_tax_allmen,clan_tax_female,clan_tax_female_rand,csupp_subclan,csupp_subclan_rand,csupp_connection,csupp_connection_rand,csupp_need,csupp_need_rand,csupp_severity,csupp_severity_rand,csupp_fundsavail,csupp_fundsavail_rand,csupp_age,csupp_age_rand,csupp_gender,csupp_gender_rand,support_timing,csupp_likely,csupp_likely_rand,trust_dc,trust_dc_rand,trust_hir,trust_hir_rand,trust_gal,trust_gal_rand,trust_punt,trust_punt_rand,trust_sws,trust_sws_rand,trust_fgspres,trust_fgspres_rand,trust_imam,trust_imam_rand,trust_aqil,trust_aqil_rand,hh_size,born_district,born_district_oth,years_moved_dist,clan_family,clan,clan_oth,subclan,subclan_oth
20,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3103,ADA3103_25_2,1,1,Xaafada galbeed,0,30,3,150,5,0,2,2,0,1,1,15,7.5,0,,1,1,1,1,1,1,0,0,0,0,,,,,1,1,0,,,,,,,1,0,1,0,0,0,1,0,1,0,1,0,1,0,3,1,0,1,0,,,1,0,,,,,1,0,1,0,1,0,18,108,,4,3,307,,30797,Wuu ka gaabsadey
15,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3103,ADA3103_6_1,1,1,Karaamo,1,43,2,75,99,1,5,1,1,1,0,7.5,3.75,1,,2,1,1,1,1,1,1,1,0,0,50,50,,,1,1,0,,,,,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,2,0,1,0,,,2,0,,,,,2,0,1,0,1,0,12,1,,,3,307,,30708,
16,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3104,ADA3104_17_2,1,1,Xafada waabar,1,40,1,25,5,0,3,2,0,1,0,2.5,1.25,1,,1,1,1,1,1,1,0,0,0,1,,,,82,1,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,99,1,0,2,0,,,2,0,,,,,1,0,1,0,1,0,7,1,,,3,307,,30701,
6,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3105,ADA3105_18_1,1,1,Matoorka agtiisa,1,33,2,75,5,0,6,2,1,1,1,7.5,3.75,0,,1,0,1,0,2,0,1,0,0,0,50,,,,1,1,0,,,,,,,0,1,0,1,1,1,0,1,0,1,0,1,0,1,4,1,0,3,0,,,1,0,,,,,1,0,1,0,1,0,11,1,,,3,307,,30710,
10,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3107,ADA3107_22_1,1,1,Faraamo,0,19,2,75,5,0,3,2,1,1,1,7.5,3.75,1,,1,0,1,0,1,0,0,0,0,0,,,,,1,1,1,3,,30,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,2,1,1,0,,,1,0,,,,,1,0,1,0,1,0,10,1,,,3,307,,30712,
9,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3107,ADA3107_6_2,1,1,Karamo,0,18,2,75,1,1,3,1,1,1,1,7.5,3.75,1,,2,0,2,0,2,0,0,0,0,1,,,,60,2,1,0,,,,,,,0,1,0,1,1,1,1,1,0,1,0,1,1,1,3,2,1,2,0,,,1,0,,,,,1,0,1,0,3,0,9,1,,,3,307,,30712,
19,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3107,ADA3107_9_3,1,1,Karamo,1,19,1,25,5,1,5,2,0,3,0,2.5,1.25,0,,1,1,1,1,2,1,0,0,0,1,,,,20,1,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,1,0,2,0,,,1,0,,,,,1,0,1,0,3,0,4,1,,,3,307,,30712,
16,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3108,ADA3108_13_2,1,1,Xafada bakiil,1,26,2,75,5,1,3,2,0,1,0,7.5,3.75,0,,1,0,1,0,1,0,0,0,0,1,,,,20,1,1,0,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,1,0,3,1,,,1,1,,,,,1,1,1,1,1,1,8,1,,,3,307,,30706,
15,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3108,ADA3108_21_1,1,1,Balilatoon,0,24,1,25,3,0,4,2,0,1,1,2.5,1.25,1,,1,1,1,1,1,1,0,0,0,0,,,,,2,1,1,3,,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,1,2,0,,,3,0,,,,,3,0,1,0,1,0,6,997,Xamar,5,3,307,,30706,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA3108,ADA3108_6_3,1,1,galbeedka,0,60,2,75,6,1,1,1,1,1,1,7.5,3.75,1,,1,1,1,1,1,1,0,0,1,0,,,40,,1,1,1,1,,75,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,2,0,2,0,,,3,0,,,,,1,0,1,0,3,0,10,1,,,3,307,,30704,
